Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_E1	NI9205_E2	NI9205_E3	NI9205_E4	NI9205_E5	NI9205_E6	NI9205_E7	NI9205_MP1l	NI9205_MP2l	NI9205_MP3l	NI9205_MP4l	NI9205_MP5l	NI9205_MP6l	NI9205_MP7l	NI9205_Power1	NI9205_Power2	NI9205_Arc1	NI9205_Penning1	NI9205_Penning2	NI9205_Penning	NI9205_MP8l	T1	T2	T3	T4
1094	11.44	0.0000003449	62.62	51.95	0.06234	0.08544	0.08816	0.0649	0.04904	0.01759	11.44	15.05	15.38	12.1	27.2	10.46	11.44	114.4	50.8	0.9191	0.0000003449	0.0000005272	0.004761	10.48	1413.08	1413.08	1413.08	1413.08
1095	11.11	0.0000003261	64.18	52.43	0.06287	0.08615	0.0888	0.06554	0.04914	0.01771	11.11	16.04	15.38	11.77	25.56	10.78	10.13	117	53.09	0.904	0.0000003261	0.0000005082	0.004761	9.659	1413.08	1413.08	1413.08	1413.08
1096	10.78	0.0000003007	65.62	52.97	0.06357	0.08722	0.09	0.06638	0.04981	0.0179	10.78	14.39	12.1	10.46	26.87	8.814	10.13	119.3	52.76	0.9335	0.0000003007	0.0000004746	0.004761	9.003	1413.08	1413.08	1413.08	1413.08
1097	8.814	0.0000002869	66.16	53.58	0.06395	0.08799	0.09072	0.06681	0.05022	0.01811	8.814	13.74	10.78	9.47	27.85	8.157	8.814	122.3	54.08	0.8846	0.0000002869	0.000000453	0.004761	8.51	1413.08	1413.08	1413.08	1413.08
1098	11.44	0.0000002737	68.3	53.93	0.06472	0.08883	0.09181	0.06747	0.0507	0.0182	11.44	16.04	12.1	11.77	32.45	10.46	11.11	123.6	54.73	0.9135	0.0000002737	0.0000004246	0.004761	9.167	1413.08	1413.08	1413.08	1413.08
1099	9.142	0.0000002608	69.44	54.42	0.06523	0.08997	0.09265	0.06812	0.05123	0.01839	9.142	13.74	9.142	9.799	30.48	8.157	9.142	126.2	56.04	0.8971	0.0000002608	0.0000003971	0.004761	8.182	1413.08	1413.08	1413.08	1413.08
1100	9.142	0.000000248	70.68	55.27	0.06623	0.0913	0.09418	0.06924	0.05193	0.01866	9.142	13.41	8.486	9.47	32.12	8.814	9.142	128.8	57.03	0.902	0.000000248	0.0000003692	0.004761	8.018	1413.08	1413.08	1413.08	1413.08
1101	9.799	0.0000002392	72.03	55.82	0.06699	0.0924	0.09538	0.06996	0.05253	0.01889	9.799	13.41	9.142	10.78	35.4	9.799	10.78	131.8	58.34	0.8856	0.0000002392	0.0000003517	0.004761	9.003	1413.08	1413.08	1413.08	1413.08
1102	10.46	0.0000002321	73.63	56.42	0.0679	0.09347	0.09633	0.07071	0.05301	0.01911	10.46	13.41	9.799	11.44	36.39	10.46	11.11	135.1	59.98	0.9214	0.0000002321	0.0000003327	0.004761	9.003	1413.08	1413.08	1413.08	1413.08
1103	11.11	0.0000002258	75.2	57.06	0.06869	0.09489	0.09753	0.07168	0.05369	0.01933	11.11	12.1	10.13	12.1	38.69	11.44	11.77	137.7	60.63	0.9119	0.0000002258	0.0000003147	0.004761	8.674	1413.08	1413.08	1413.08	1413.08
