Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_E1	NI9205_E2	NI9205_E3	NI9205_E4	NI9205_E5	NI9205_E6	NI9205_E7	NI9205_MP1l	NI9205_MP2l	NI9205_MP3l	NI9205_MP4l	NI9205_MP5l	NI9205_MP6l	NI9205_MP7l	NI9205_Power1	NI9205_Power2	NI9205_Arc1	NI9205_Penning1	NI9205_Penning2	NI9205_Penning	NI9205_MP8l	T1	T2	T3	T4
529	9.47	0.00000008212	651.8	313.2	0.1334	0.1405	0.1309	0.1174	0.1203	0.1209	9.47	8.814	8.486	10.13	8.486	8.157	10.46	662.1	7.51	0.9296	0.00000008212	0.0000001614	0.004761	8.838	1413.09	1413.09	1413.09	1413.09
530	8.486	0.0000000819	644.9	310	0.1329	0.1399	0.1301	0.1163	0.1228	0.12	8.486	7.829	7.501	8.814	8.157	7.829	9.799	652.9	7.51	0.9591	0.0000000819	0.0000001609	0.004761	8.346	1413.09	1413.09	1413.09	1413.09
531	8.157	0.00000008168	644.1	308.3	0.1321	0.1388	0.1296	0.1163	0.1192	0.1199	8.157	7.829	7.173	8.486	8.157	7.829	8.814	655.2	7.838	0.8964	0.00000008168	0.0000001605	0.004761	8.182	1413.09	1413.09	1413.09	1413.09
532	10.13	0.00000008177	643.4	308	0.1314	0.1385	0.129	0.1154	0.1182	0.1189	10.13	9.142	8.814	10.46	8.814	8.814	11.11	655.5	7.51	0.9877	0.00000008177	0.0000001605	0.004761	8.838	1413.09	1413.09	1413.09	1413.09
533	11.11	0.00000008155	629.9	304.6	0.1302	0.1378	0.1287	0.1151	0.1177	0.1181	11.11	10.13	9.799	11.44	10.13	10.13	10.78	637.8	7.182	0.8948	0.00000008155	0.0000001601	0.004761	8.51	1413.09	1413.09	1413.09	1413.09
534	8.814	0.00000008133	630.8	302.7	0.1297	0.1371	0.1276	0.1141	0.1168	0.1176	8.814	7.829	7.501	9.142	8.486	8.157	9.799	639.8	7.51	0.927	0.00000008133	0.0000001595	0.004761	8.182	1413.09	1413.09	1413.09	1413.09
535	10.78	0.00000008146	628.3	301.4	0.1291	0.1364	0.1268	0.1136	0.1163	0.1174	10.78	9.47	9.47	11.11	9.47	9.47	10.46	639.8	7.182	0.9309	0.00000008146	0.0000001596	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
536	10.78	0.00000008124	616	299.5	0.1284	0.1357	0.1263	0.113	0.1158	0.1165	10.78	8.814	9.142	10.13	8.486	8.814	10.46	630.9	7.51	0.946	0.00000008124	0.0000001593	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
537	10.78	0.00000008111	604.1	297.3	0.1276	0.1349	0.1257	0.1168	0.1152	0.116	10.78	9.799	9.47	11.11	9.47	9.47	11.11	613.5	7.182	0.9529	0.00000008111	0.0000001588	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
538	11.11	0.00000008089	606.2	295.1	0.1272	0.1344	0.1248	0.1121	0.1142	0.1149	11.11	10.13	10.46	11.44	10.13	9.47	9.47	617.8	7.182	0.8876	0.00000008089	0.0000001583	0.004761	8.51	1413.09	1413.09	1413.09	1413.09
